chat_id,company,sender,message,intent,sentiment,response_time_sec,resolved,language,response_suggestion,similar_chat_id
1,Adobe,Customer,This is a feedback message from a customer regarding Adobe.,Complaint,Negative,287,Yes,French,Suggested response for complaint.,44
2,Microsoft,Customer,This is a complaint message from a customer regarding Microsoft.,Inquiry,Neutral,180,No,English,Suggested response for inquiry.,33
3,Spotify,Customer,This is a feedback message from a customer regarding Spotify.,Feedback,Neutral,222,Yes,Spanish,Suggested response for feedback.,79
4,Tesla,Customer,This is a complaint message from a customer regarding Tesla.,Complaint,Positive,21,Yes,French,Suggested response for complaint.,66
5,Tesla,Customer,This is a complaint message from a customer regarding Tesla.,Feedback,Negative,76,No,English,Suggested response for feedback.,143
6,Microsoft,Customer,This is a feedback message from a customer regarding Microsoft.,Inquiry,Neutral,180,No,French,Suggested response for inquiry.,96
7,Spotify,Customer,This is a complaint message from a customer regarding Spotify.,Feedback,Positive,248,No,English,Suggested response for feedback.,38
8,Amazon,Customer,This is a inquiry message from a customer regarding Amazon.,Feedback,Neutral,159,No,Spanish,Suggested response for feedback.,150
9,Microsoft,Customer,This is a complaint message from a customer regarding Microsoft.,Complaint,Positive,254,No,French,Suggested response for complaint.,37
10,Google,Customer,This is a feedback message from a customer regarding Google.,Feedback,Negative,87,No,English,Suggested response for feedback.,50
11,Amazon,Customer,This is a complaint message from a customer regarding Amazon.,Inquiry,Negative,225,No,English,Suggested response for inquiry.,22
12,Apple,Customer,This is a inquiry message from a customer regarding Apple.,Complaint,Neutral,84,Yes,English,Suggested response for complaint.,49
13,Google,Customer,This is a feedback message from a customer regarding Google.,Feedback,Negative,293,No,Spanish,Suggested response for feedback.,3
14,Amazon,Customer,This is a inquiry message from a customer regarding Amazon.,Complaint,Neutral,293,No,French,Suggested response for complaint.,9
15,Amazon,Customer,This is a inquiry message from a customer regarding Amazon.,Feedback,Positive,42,Yes,French,Suggested response for feedback.,24
16,Apple,Customer,This is a feedback message from a customer regarding Apple.,Feedback,Positive,105,No,Spanish,Suggested response for feedback.,3
17,Samsung,Customer,This is a feedback message from a customer regarding Samsung.,Feedback,Positive,30,Yes,French,Suggested response for feedback.,69
18,Netflix,Customer,This is a feedback message from a customer regarding Netflix.,Feedback,Neutral,21,Yes,French,Suggested response for feedback.,117
19,Apple,Customer,This is a feedback message from a customer regarding Apple.,Inquiry,Neutral,138,No,English,Suggested response for inquiry.,94
20,Google,Customer,This is a complaint message from a customer regarding Google.,Complaint,Negative,270,No,French,Suggested response for complaint.,77
21,Samsung,Customer,This is a feedback message from a customer regarding Samsung.,Inquiry,Positive,225,No,French,Suggested response for inquiry.,127
22,Facebook,Customer,This is a inquiry message from a customer regarding Facebook.,Inquiry,Negative,123,Yes,French,Suggested response for inquiry.,20
23,Netflix,Customer,This is a inquiry message from a customer regarding Netflix.,Inquiry,Negative,96,Yes,French,Suggested response for inquiry.,6
24,Adobe,Customer,This is a feedback message from a customer regarding Adobe.,Complaint,Positive,25,No,French,Suggested response for complaint.,110
25,Adobe,Customer,This is a feedback message from a customer regarding Adobe.,Inquiry,Neutral,111,No,French,Suggested response for inquiry.,57
26,Samsung,Customer,This is a complaint message from a customer regarding Samsung.,Complaint,Positive,96,Yes,French,Suggested response for complaint.,51
27,Microsoft,Customer,This is a feedback message from a customer regarding Microsoft.,Inquiry,Neutral,276,Yes,English,Suggested response for inquiry.,102
28,Adobe,Customer,This is a inquiry message from a customer regarding Adobe.,Inquiry,Positive,245,Yes,French,Suggested response for inquiry.,46
29,Apple,Customer,This is a feedback message from a customer regarding Apple.,Feedback,Neutral,277,Yes,French,Suggested response for feedback.,58
30,Netflix,Customer,This is a feedback message from a customer regarding Netflix.,Complaint,Neutral,100,Yes,English,Suggested response for complaint.,14
31,Samsung,Customer,This is a feedback message from a customer regarding Samsung.,Feedback,Neutral,184,Yes,English,Suggested response for feedback.,147
32,Samsung,Customer,This is a feedback message from a customer regarding Samsung.,Inquiry,Neutral,63,Yes,French,Suggested response for inquiry.,52
33,Amazon,Customer,This is a feedback message from a customer regarding Amazon.,Feedback,Positive,238,Yes,French,Suggested response for feedback.,38
34,Tesla,Customer,This is a complaint message from a customer regarding Tesla.,Complaint,Neutral,208,Yes,French,Suggested response for complaint.,58
35,Facebook,Customer,This is a inquiry message from a customer regarding Facebook.,Inquiry,Positive,298,Yes,Spanish,Suggested response for inquiry.,11
36,Samsung,Customer,This is a inquiry message from a customer regarding Samsung.,Inquiry,Positive,94,No,English,Suggested response for inquiry.,111
37,Netflix,Customer,This is a complaint message from a customer regarding Netflix.,Feedback,Positive,161,No,English,Suggested response for feedback.,24
38,Spotify,Customer,This is a complaint message from a customer regarding Spotify.,Complaint,Negative,36,Yes,English,Suggested response for complaint.,142
39,Tesla,Customer,This is a feedback message from a customer regarding Tesla.,Inquiry,Negative,1,No,French,Suggested response for inquiry.,23
40,Spotify,Customer,This is a inquiry message from a customer regarding Spotify.,Feedback,Positive,64,No,French,Suggested response for feedback.,150
41,Spotify,Customer,This is a feedback message from a customer regarding Spotify.,Feedback,Positive,191,No,Spanish,Suggested response for feedback.,119
42,Tesla,Customer,This is a complaint message from a customer regarding Tesla.,Feedback,Negative,109,Yes,French,Suggested response for feedback.,109
43,Google,Customer,This is a complaint message from a customer regarding Google.,Feedback,Neutral,76,Yes,French,Suggested response for feedback.,56
44,Netflix,Customer,This is a complaint message from a customer regarding Netflix.,Feedback,Neutral,157,Yes,English,Suggested response for feedback.,99
45,Tesla,Customer,This is a complaint message from a customer regarding Tesla.,Feedback,Neutral,130,Yes,French,Suggested response for feedback.,132
46,Amazon,Customer,This is a complaint message from a customer regarding Amazon.,Complaint,Neutral,135,No,Spanish,Suggested response for complaint.,73
47,Tesla,Customer,This is a feedback message from a customer regarding Tesla.,Inquiry,Positive,272,Yes,English,Suggested response for inquiry.,115
48,Amazon,Customer,This is a inquiry message from a customer regarding Amazon.,Feedback,Negative,299,Yes,English,Suggested response for feedback.,91
49,Tesla,Customer,This is a complaint message from a customer regarding Tesla.,Feedback,Negative,262,No,Spanish,Suggested response for feedback.,21
50,Apple,Customer,This is a complaint message from a customer regarding Apple.,Inquiry,Positive,174,No,English,Suggested response for inquiry.,38
51,Tesla,Customer,This is a feedback message from a customer regarding Tesla.,Feedback,Neutral,56,Yes,Spanish,Suggested response for feedback.,140
52,Tesla,Customer,This is a inquiry message from a customer regarding Tesla.,Complaint,Neutral,152,Yes,Spanish,Suggested response for complaint.,98
53,Samsung,Customer,This is a inquiry message from a customer regarding Samsung.,Inquiry,Neutral,126,Yes,French,Suggested response for inquiry.,112
54,Google,Customer,This is a feedback message from a customer regarding Google.,Feedback,Neutral,269,No,English,Suggested response for feedback.,111
55,Google,Customer,This is a feedback message from a customer regarding Google.,Inquiry,Negative,276,Yes,Spanish,Suggested response for inquiry.,64
56,Microsoft,Customer,This is a complaint message from a customer regarding Microsoft.,Complaint,Negative,96,No,English,Suggested response for complaint.,98
57,Facebook,Customer,This is a feedback message from a customer regarding Facebook.,Complaint,Positive,186,No,English,Suggested response for complaint.,109
58,Google,Customer,This is a inquiry message from a customer regarding Google.,Inquiry,Negative,184,No,Spanish,Suggested response for inquiry.,141
